,label,1,2,3,4,5,6,7,8
43,State Space (m0),1.270946527677218,1.223781188082088,1.202489694410661,1.196731559253963,1.182874868384764,1.168524156553407,1.170293438570653,1.174877133529922
44,Regular Midas (m1),1.1416319616162929,1.082167113504345,1.0686837144826482,1.0845949162048352,1.0990594833638434,1.0955396943207385,1.1114679151901312,1.1143609841760784
45,Multiple Midas (m2),1.1440893741634568,1.0872300727926223,1.070667047327645,1.0846112205272114,1.0990633774934515,1.0962930528911514,1.1115880476594098,1.1104324066487457
46,Ratio (m0/m1),1.1132716763446644,1.1308615580815047,1.1252063432002315,1.1033903454402232,1.0762610088804208,1.0666196420002112,1.0529259752589968,1.0543056964602786
47,Ratio (m0/m2),1.1108804577496558,1.1255954178481515,1.123121980275793,1.1033737588223103,1.0762571955426765,1.0658866746184035,1.0528121825660637,1.0580357043754411
48,Manufacturing,,,,,,,,
49,State Space (m0),1.256030249923359,1.224322978389608,1.199075422211854,1.185348363904952,1.179861982777466,1.168308540123946,1.162999256115891,1.168675208236187
50,Regular Midas (m1),1.2064738987275758,1.1053897583976593,1.0933155393787737,1.1015780651020752,1.1018659907027757,1.1055088805902995,1.130524116787435,1.146396974424966
51,Multiple Midas (m2),1.2198249878400511,1.1152675174698434,1.0958204456942149,1.111111269727683,1.1058331931129342,1.115729417984542,1.1245055206643422,1.1416099105695114
52,Ratio (m0/m1),1.041075361222525,1.1075939224951303,1.096733174480602,1.0760457215486716,1.0707853702108947,1.056806110413255,1.0287257377761558,1.0194332629169716
53,Ratio (m0/m2),1.0296807021041738,1.0977841273160844,1.0942261817831167,1.0668133752216045,1.0669439026840384,1.0471253345944602,1.0342316998397725,1.0237080086780026
